190038 329891
585 41.879529 -87.626130
586 41.876526 -87.623653
587 41.875890 -87.623299
588 41.874957 -87.623604
589 41.875766 -87.624204
590 41.875724 -87.624350
591 41.876799 -87.637773
592 41.878083 -87.636932
593 41.876812 -87.636803
594 41.876859 -87.633121
595 41.900820 -87.624141
596 41.899219 -87.624060
597 41.898389 -87.624042
598 41.897586 -87.624066
599 41.896741 -87.624176
600 41.895748 -87.624197
601 41.900045 -87.621903
602 41.900076 -87.620252
603 41.900095 -87.619261
604 41.899246 -87.621885
605 41.898422 -87.621867
606 41.897618 -87.621852
607 41.896766 -87.621834
608 41.900878 -87.619828
609 41.899294 -87.618734
610 41.898469 -87.618191
611 41.897681 -87.617653
612 41.899272 -87.620228
613 41.898442 -87.620216
614 41.897643 -87.620193
615 41.896840 -87.617065
616 41.895873 -87.616407
617 41.895086 -87.615900
618 41.894289 -87.615378
619 41.893496 -87.614875
620 41.896702 -87.626848
621 41.896678 -87.628210
622 41.879559 -87.624290
623 41.879556 -87.624444
624 41.880838 -87.624244
625 41.880835 -87.624471
626 41.882115 -87.624508
627 41.883257 -87.624233
628 41.883256 -87.624532
629 41.886811 -87.624460
630 41.888314 -87.624444
631 41.879480 -87.627723
632 41.880755 -87.627760
633 41.880802 -87.626161
634 41.882079 -87.626192
635 41.882045 -87.627809
636 41.883253 -87.626228
637 41.884493 -87.626263
638 41.869895 -87.617248
639 41.869333 -87.617399
640 41.869058 -87.617557
641 41.867971 -87.618551
642 41.867211 -87.619234
643 41.866968 -87.619382
644 41.879390 -87.633782
645 41.880670 -87.633814
646 41.881941 -87.633848
647 41.883242 -87.633882
648 41.884468 -87.633916
649 41.885752 -87.629504
650 41.889281 -87.624214
651 41.889969 -87.624034
652 41.892541 -87.624121
653 41.807989 -87.631420
654 41.800074 -87.631725
655 41.800995 -87.630928
656 41.787028 -87.630572
657 41.780445 -87.631439
658 41.780427 -87.630559
659 41.772835 -87.617647
660 41.772834 -87.617829
661 41.815024 -87.630707
